rank,industry,product_name,brand,price,user_rating,user_reviews,category,price_band,rating_tier
1,Coffee,House Blend,Blue Bottle,4.0,4.7,500,Drip Coffee,Budget ($0-25),Top Rated (4.5-5)
2,Coffee,New Orleans Iced Coffee,Blue Bottle,5.5,4.8,600,Iced,Budget ($0-25),Top Rated (4.5-5)
3,Coffee,Latte,Blue Bottle,6.0,4.7,450,Latte,Budget ($0-25),Top Rated (4.5-5)
4,Coffee,Espresso,Blue Bottle,3.5,4.8,400,Espresso,Budget ($0-25),Top Rated (4.5-5)
5,Coffee,Single Origin Pour Over,Blue Bottle,6.5,4.9,350,Pour Over,Budget ($0-25),Top Rated (4.5-5)
6,Coffee,Flat White,Costa Coffee,4.5,4.3,700,Espresso,Budget ($0-25),Good (4-4.4)
7,Coffee,Latte,Costa Coffee,4.75,4.4,900,Latte,Budget ($0-25),Good (4-4.4)
8,Coffee,Cappuccino,Costa Coffee,4.5,4.3,800,Espresso,Budget ($0-25),Good (4-4.4)
9,Coffee,Americano,Costa Coffee,3.25,4.2,600,Espresso,Budget ($0-25),Good (4-4.4)
10,Coffee,Mocha,Costa Coffee,5.25,4.4,750,Mocha,Budget ($0-25),Good (4-4.4)
11,Coffee,Iced Latte,Costa Coffee,4.95,4.3,650,Iced,Budget ($0-25),Good (4-4.4)
12,Coffee,Cold Brew,Costa Coffee,4.5,4.5,500,Cold Brew,Budget ($0-25),Top Rated (4.5-5)
13,Coffee,Caramel Latte,Costa Coffee,5.25,4.5,820,Latte,Budget ($0-25),Top Rated (4.5-5)
14,Coffee,Original Blend Coffee,Dunkin,2.49,4.1,1800,Drip Coffee,Budget ($0-25),Good (4-4.4)
15,Coffee,Iced Coffee,Dunkin,2.99,4.2,2100,Iced,Budget ($0-25),Good (4-4.4)
16,Coffee,Cold Brew,Dunkin,3.49,4.3,1500,Cold Brew,Budget ($0-25),Good (4-4.4)
17,Coffee,Latte,Dunkin,4.49,4.2,1200,Latte,Budget ($0-25),Good (4-4.4)
18,Coffee,Cappuccino,Dunkin,3.99,4.1,900,Espresso,Budget ($0-25),Good (4-4.4)
19,Coffee,Macchiato,Dunkin,4.49,4.2,700,Espresso,Budget ($0-25),Good (4-4.4)
20,Coffee,Americano,Dunkin,2.99,4.0,800,Espresso,Budget ($0-25),Good (4-4.4)
21,Coffee,Drip Coffee,Intelligentsia,3.75,4.6,400,Drip Coffee,Budget ($0-25),Top Rated (4.5-5)
22,Coffee,Latte,Intelligentsia,5.5,4.6,450,Latte,Budget ($0-25),Top Rated (4.5-5)
23,Coffee,Espresso,Intelligentsia,3.25,4.7,380,Espresso,Budget ($0-25),Top Rated (4.5-5)
24,Coffee,Cold Brew,Intelligentsia,5.0,4.7,420,Cold Brew,Budget ($0-25),Top Rated (4.5-5)
25,Coffee,Drip Coffee,Peet's Coffee,2.95,4.3,600,Drip Coffee,Budget ($0-25),Good (4-4.4)
26,Coffee,Latte,Peet's Coffee,5.45,4.5,750,Latte,Budget ($0-25),Top Rated (4.5-5)
27,Coffee,Cappuccino,Peet's Coffee,5.25,4.4,600,Espresso,Budget ($0-25),Good (4-4.4)
28,Coffee,Cold Brew,Peet's Coffee,4.75,4.6,800,Cold Brew,Budget ($0-25),Top Rated (4.5-5)
29,Coffee,Vanilla Latte,Peet's Coffee,5.75,4.5,700,Latte,Budget ($0-25),Top Rated (4.5-5)
