date,restaurant_id,restaurant_type,menu_item_name,meal_type,key_ingredients_tags,typical_ingredient_cost,observed_market_price,actual_selling_price,quantity_sold,has_promotion,special_event,day_of_week,holiday,is_weekend,category,cuisine_type
1/1/2024,1,Casual Dining,ABC Special,Lunch,"shaved ice, red beans, corn, ice cream",4.57,12.01,10.2085,10.0,0,0,Monday,0,0,Desserts,Malaysian
1/1/2024,2,Fine Dining,ABC Special,Lunch,"shaved ice, red beans, corn, ice cream",4.74,21.12,8.532,7.0,0,0,Monday,0,0,Desserts,Malaysian
1/1/2024,3,Fine Dining,ABC Special,Lunch,"shaved ice, red beans, corn, ice cream",3.46,19.49,6.228,3.0,0,0,Monday,0,0,Desserts,Malaysian
1/1/2024,4,Street Food,ABC Special,Lunch,"shaved ice, red beans, corn, ice cream",4.37,8.24,7.98,82.0,0,1,Monday,0,0,Desserts,Malaysian
1/1/2024,5,Street Food,ABC Special,Lunch,"shaved ice, red beans, corn, ice cream",3.4,5.73,6.303,55.0,0,0,Monday,0,0,Desserts,Malaysian
1/1/2024,6,Fine Dining,ABC Special,Lunch,"shaved ice, red beans, corn, ice cream",3.44,25.86,6.192,5.0,0,0,Monday,0,0,Desserts,Malaysian
1/1/2024,8,Food Court,Air Mata Kucing,Lunch,"longan, winter melon, rock sugar",2.51,6.23,5.0,19.0,0,0,Monday,0,0,Drinks,Malaysian
1/1/2024,18,Fine Dining,Air Mata Kucing,Lunch,"longan, winter melon, rock sugar",2.59,19.55,4.662,4.0,0,0,Monday,0,0,Drinks,Malaysian
1/1/2024,3,Fine Dining,Air Mata Kucing,Lunch,"longan, winter melon, rock sugar",2.86,13.78,5.148,3.0,0,0,Monday,0,0,Drinks,Malaysian
1/1/2024,6,Food Court,Air Mata Kucing,Lunch,"longan, winter melon, rock sugar",2.64,3.67,4.037,14.0,0,0,Monday,0,0,Drinks,Malaysian
1/1/2024,4,Street Food,Air Mata Kucing,Lunch,"longan, winter melon, rock sugar",2.63,5.27,4.4795,100.0,0,0,Monday,0,0,Drinks,Malaysian
1/1/2024,7,Street Food,Air Mata Kucing,Lunch,"longan, winter melon, rock sugar",2.47,4.22,3.587,87.0,0,0,Monday,0,0,Drinks,Malaysian
1/1/2024,22,Street Food,Ang Ku Kueh,Breakfast,"glutinous rice flour, mung bean, red coloring",2.43,3.15,3.2,42.0,0,0,Monday,0,0,Desserts,Chinese
1/1/2024,9,Street Food,Ang Ku Kueh,Breakfast,"glutinous rice flour, mung bean, red coloring",2.51,3.27,3.597,31.0,0,0,Monday,0,0,Desserts,Chinese
1/1/2024,11,Food Court,Ang Ku Kueh,Breakfast,"glutinous rice flour, mung bean, red coloring",2.48,6.16,5.236,30.0,0,0,Monday,0,0,Desserts,Chinese
1/1/2024,16,Casual Dining,Ang Ku Kueh,Breakfast,"glutinous rice flour, mung bean, red coloring",2.94,6.3,5.59,23.0,1,0,Monday,0,0,Desserts,Chinese
1/1/2024,9,Fast Food,Appam,Breakfast,"rice flour, coconut milk, palm wine",3.22,8.46,7.191,17.0,0,0,Monday,0,0,Bread & Rice,Indian
1/1/2024,6,Casual Dining,Appam,Breakfast,"rice flour, coconut milk, palm wine",4.2,19.44,7.56,17.0,0,0,Monday,0,0,Bread & Rice,Indian
1/1/2024,20,Fine Dining,Appam,Breakfast,"rice flour, coconut milk, palm wine",3.17,21.71,5.706,5.0,0,0,Monday,0,0,Bread & Rice,Indian
1/1/2024,19,Fine Dining,Appam,Breakfast,"rice flour, coconut milk, palm wine",4.09,23.96,7.362,8.0,0,1,Monday,0,0,Bread & Rice,Indian
1/1/2024,22,Casual Dining,Appam,Breakfast,"rice flour, coconut milk, palm wine",3.12,9.26,5.616,7.0,0,0,Monday,0,0,Bread & Rice,Indian
1/1/2024,3,Fine Dining,Appam,Breakfast,"rice flour, coconut milk, palm wine",3.92,13.13,10.81,3.0,0,0,Monday,0,0,Bread & Rice,Indian
1/1/2024,17,Fast Food,Ayam Percik,Lunch,"chicken, coconut milk, turmeric, chili, lemongrass",5.68,31.62,26.877,53.0,0,0,Monday,0,0,Main Course,Malay
1/1/2024,15,Casual Dining,Ayam Pongteh,Dinner,"chicken, fermented bean paste, potato",7.91,36.03,14.238,16.0,0,1,Monday,0,0,Main Course,Nyonya
1/1/2024,21,Casual Dining,Ayam Pongteh,Dinner,"chicken, fermented bean paste, potato",7.44,34.62,29.427,50.0,1,0,Monday,0,0,Main Course,Nyonya
1/1/2024,12,Fast Food,Ayam Pongteh,Dinner,"chicken, fermented bean paste, potato",6.19,21.09,17.9265,25.0,0,0,Monday,0,0,Main Course,Nyonya
1/1/2024,3,Food Court,Bak Chang,Lunch,"glutinous rice, pork, mushroom, bamboo leaves",3.52,9.73,9.69,33.0,0,0,Monday,0,0,Rice & Noodles,Chinese
1/1/2024,16,Food Court,Bak Chang,Lunch,"glutinous rice, pork, mushroom, bamboo leaves",4.7,9.61,8.1685,31.0,0,0,Monday,0,0,Rice & Noodles,Chinese
1/1/2024,18,Food Court,Bak Chang,Lunch,"glutinous rice, pork, mushroom, bamboo leaves",5.01,8.17,8.19,26.0,0,0,Monday,0,0,Rice & Noodles,Chinese
1/1/2024,17,Food Court,Bak Chang,Lunch,"glutinous rice, pork, mushroom, bamboo leaves",4.29,8.68,7.378,40.0,0,0,Monday,0,0,Rice & Noodles,Chinese
1/1/2024,12,Fast Food,Bak Chang,Lunch,"glutinous rice, pork, mushroom, bamboo leaves",3.42,7.96,8.37,13.0,0,0,Monday,1,0,Rice & Noodles,Chinese
1/1/2024,20,Fast Food,Bak Kwa,Breakfast,"barbecued pork jerky, sugar, soy sauce",9.18,21.61,20.04,13.0,0,0,Monday,0,0,Snacks,Chinese
1/1/2024,21,Street Food,Bak Kwa,Breakfast,"barbecued pork jerky, sugar, soy sauce",9.48,11.8,10.03,55.0,0,0,Monday,0,0,Snacks,Chinese
1/1/2024,9,Casual Dining,Bak Kwa,Breakfast,"barbecued pork jerky, sugar, soy sauce",7.04,20.15,12.672,9.0,0,0,Monday,0,0,Snacks,Chinese
1/1/2024,22,Casual Dining,Bak Kwa,Breakfast,"barbecued pork jerky, sugar, soy sauce",7.31,38.44,32.674,21.0,0,0,Monday,0,0,Snacks,Chinese
1/1/2024,18,Street Food,Bak Kwa,Breakfast,"barbecued pork jerky, sugar, soy sauce",6.42,17.03,15.64,30.0,0,0,Monday,0,0,Snacks,Chinese
1/1/2024,3,Food Court,Bak Kwa,Breakfast,"barbecued pork jerky, sugar, soy sauce",8.76,20.46,17.391,20.0,0,0,Monday,0,0,Snacks,Chinese
1/1/2024,25,Fine Dining,Bambangan,Lunch,"wild mango, chili, salt, dried shrimp",3.7,16.77,6.66,14.0,1,0,Monday,0,0,Condiments,Sabahan
1/1/2024,1,Fine Dining,Bambangan,Lunch,"wild mango, chili, salt, dried shrimp",3.0,16.17,5.4,3.0,0,0,Monday,0,0,Condiments,Sabahan
1/1/2024,19,Casual Dining,Bambangan,Lunch,"wild mango, chili, salt, dried shrimp",3.16,8.87,5.688,8.0,0,0,Monday,0,0,Condiments,Sabahan
1/1/2024,2,Casual Dining,Bambangan,Lunch,"wild mango, chili, salt, dried shrimp",2.83,14.89,5.094,11.0,0,0,Monday,0,0,Condiments,Sabahan
1/1/2024,4,Street Food,Bambangan,Lunch,"wild mango, chili, salt, dried shrimp",3.89,5.41,4.36,100.0,0,0,Monday,0,0,Condiments,Sabahan
1/1/2024,7,Casual Dining,Bambangan,Lunch,"wild mango, chili, salt, dried shrimp",2.85,14.45,5.13,17.0,0,0,Monday,0,0,Condiments,Sabahan
1/1/2024,9,Fine Dining,Banana Leaf Rice,Lunch,"rice, curry, vegetables, banana leaf",6.9,51.77,12.42,9.0,1,0,Monday,0,0,Rice & Noodles,Indian
1/1/2024,19,Street Food,Banana Leaf Rice,Lunch,"rice, curry, vegetables, banana leaf",7.19,9.91,10.01,63.0,0,0,Monday,0,0,Rice & Noodles,Indian
1/1/2024,23,Fine Dining,Banana Leaf Rice,Lunch,"rice, curry, vegetables, banana leaf",5.91,49.33,10.638,7.0,0,0,Monday,0,0,Rice & Noodles,Indian
1/1/2024,24,Fast Food,Banana Leaf Rice,Lunch,"rice, curry, vegetables, banana leaf",7.74,17.77,19.547,11.0,0,0,Monday,0,0,Rice & Noodles,Indian
1/1/2024,25,Food Court,Banana Leaf Rice,Lunch,"rice, curry, vegetables, banana leaf",6.19,13.25,11.2625,69.0,0,0,Monday,0,0,Rice & Noodles,Indian
1/1/2024,15,Street Food,Barley Water,Lunch,"barley, rock sugar, pandan leaves",1.95,1.86,2.23,25.0,0,0,Monday,0,0,Drinks,Malaysian
1/1/2024,19,Food Court,Barley Water,Lunch,"barley, rock sugar, pandan leaves",1.64,6.27,5.3295,37.0,0,0,Monday,0,0,Drinks,Malaysian
1/1/2024,7,Fine Dining,Barley Water,Lunch,"barley, rock sugar, pandan leaves",2.02,13.94,3.636,5.0,0,0,Monday,0,0,Drinks,Malaysian
1/1/2024,8,Food Court,Barley Water,Lunch,"barley, rock sugar, pandan leaves",1.89,5.46,4.641,26.0,0,0,Monday,0,0,Drinks,Malaysian
1/1/2024,23,Street Food,Beef Rendang,Lunch,"beef, coconut milk, galangal, lemongrass, spices, chili",5.49,19.8,16.83,100.0,0,0,Monday,0,0,Main Course,Malay
1/1/2024,17,Food Court,Beef Steak,Lunch,"beef, mushroom sauce, vegetables, potato",10.53,44.2,37.57,100.0,0,0,Monday,0,0,Main Course,Western
1/1/2024,12,Fine Dining,Braised Duck,Dinner,"duck, dark soy sauce, star anise, sugar",10.13,73.73,18.234,3.0,0,0,Monday,0,0,Main Course,Chinese
1/1/2024,7,Street Food,Braised Duck,Dinner,"duck, dark soy sauce, star anise, sugar",8.2,14.36,12.206,100.0,1,0,Monday,0,0,Main Course,Chinese
